,Image,Collection,Production,Date,Occasion,Leaflet Language,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Title Language,Season,Directors
3649,Scan 2024-04-29 1242-198.jpeg,1960-1961,Paljas,1961-05-07,,ned,True,822444,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1960-1961,Mina Bolotine
3650,Scan 2024-04-29 1242-205.jpeg,1960-1961,Martha,1961-05-07,,ned,False,278283,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,Unk,1960-1961,Mina Bolotine
3651,Scan 2024-04-29 1242-215.jpeg,1960-1961,De Barbier van Sevilla,1961-05-11,,ned,False,741540,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1960-1961,Mina Bolotine
3652,Scan 2024-04-29 1242-227.jpeg,1960-1961,Laagland,1961-05-13,,ned,False,966345,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,NL,1960-1961,Mina Bolotine
3653,Scan 2024-04-29 1242-240.jpeg,1960-1961,Lohengrin,1961-05-14,,ned,False,971694,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1960-1961,Mina Bolotine
3654,Scan 2024-04-29 1242-251.jpeg,1960-1961,De Lustige Weduwe,1961-05-14,,ned,False,969419,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1960-1961,Mina Bolotine
3655,Scan 2024-04-29 1242-258.jpeg,1960-1961,De Reiskameraad,1961-05-16,,ned,False,293786,De Reiskameraad,?,Marinus De Jong,?,?,ballet,NL,1960-1961,Mina Bolotine
3656,Scan 2024-04-29 1242-262.jpeg,1960-1961,Parwati,1961-05-16,,ned,False,605767,Parwati,NL,Willem Kersters,1956,Parwati,ballet,NL,1960-1961,Mina Bolotine
3657,Scan 2024-04-29 1242-264.jpeg,1960-1961,Pas de Trois,1961-05-16,,ned,True,376127,Pas de Trois,N/A,N/A,N/A,N/A,N/A,N/A,1960-1961,Mina Bolotine
3658,Scan 2024-04-29 1242-264.jpeg,1960-1961,Dans van de Drie Ivans,1961-05-16,,ned,True,376127,Dans van de Drie Ivans,?,Pjotr Iljitsj Tsjaikovski,1890,?,ballet,NL,1960-1961,Mina Bolotine
3659,Scan 2024-04-29 1242-264.jpeg,1960-1961,Bacchanale,1961-05-16,,ned,True,376127,De Bacchanale,N/A,Ebbe Hamerik,1926,Dionysia,ballet,NL,1960-1961,Mina Bolotine
3660,Scan 2024-04-29 1242-264.jpeg,1960-1961,Dansen uit Galanta,1961-05-16,,ned,True,376127,Dansen uit Galanta,HON,Zoltán Kodály,1933,Galántai táncok,ballet,NL,1960-1961,Mina Bolotine
3661,Scan 2024-04-29 1242-269.jpeg,1960-1961,Laagland,1961-05-18,,ned,False,747195,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,NL,1960-1961,Mina Bolotine
3662,Scan 2024-04-29 1242-276.jpeg,1960-1961,Lohengrin,1961-05-20,,ned,False,412541,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1960-1961,Mina Bolotine
3663,Scan 2024-04-29 1242-282.jpeg,1960-1961,Carmen,1961-05-21,,ned,False,502039,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1960-1961,Mina Bolotine
3664,Scan 2024-04-29 1242-289.jpeg,1960-1961,De Barbier van Sevilla,1961-05-21,,ned,False,568362,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1960-1961,Mina Bolotine
3665,Scan 2024-04-29 1242-297.jpeg,1960-1961,Parwati,1961-05-23,,ned,False,729806,Parwati,NL,Willem Kersters,1956,Parwati,ballet,NL,1960-1961,Mina Bolotine
3666,Scan 2024-04-29 1242-298.jpeg,1960-1961,Clair de Lune,1961-05-23,,ned,True,435980,Clair de Lune,?,Jeanne Brabants,?,?,ballet,FR,1960-1961,Mina Bolotine
3667,Scan 2024-04-29 1242-298.jpeg,1960-1961,Judith,1961-05-23,,ned,True,435980,Judith,FR,Arthur Honegger,1926,Judith,oratorio,Unk,1960-1961,Mina Bolotine
3668,Scan 2024-04-29 1242-300.jpeg,1960-1961,De Reiskameraad,1961-05-23,,ned,False,751351,De Reiskameraad,?,Marinus De Jong,?,?,ballet,NL,1960-1961,Mina Bolotine
3669,Scan 2024-04-29 1242-302.jpeg,1960-1961,Pas de Trois,1961-05-23,,ned,False,562574,Pas de Trois,N/A,N/A,N/A,N/A,N/A,N/A,1960-1961,Mina Bolotine
3670,Scan 2024-04-29 1242-303.jpeg,1960-1961,Dans van de Drie Ivans,1961-05-23,,ned,True,761234,Dans van de Drie Ivans,?,Pjotr Iljitsj Tsjaikovski,1890,?,ballet,NL,1960-1961,Mina Bolotine
