,Image,Collection,Production,Date,Occasion,Leaflet Language,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Title Language,Season,Directors
782,Scan 2024-02-26 1051-45.jpeg,1949-1950,Fidelio,1949-10-30,,ned,False,910854,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,Unk,1949-1950,Karel Bogaers
783,Scan 2024-02-26 1057-3.jpeg,1949-1950,Aïda,1949-11-01,,ned,False,106370,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1949-1950,Karel Bogaers
784,Scan 2024-02-26 1057-5.jpeg,1949-1950,De Barbier van Sevilla,1949-11-03,,ned,False,736449,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1949-1950,Karel Bogaers
785,Scan 2024-02-26 1057-7.jpeg,1949-1950,Traviata,1949-11-05,,ned,False,853929,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1949-1950,Karel Bogaers
787,Scan 2024-02-26 1057-11.jpeg,1949-1950,Zwarte Viooltjes,1949-11-06,,ned,False,108706,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1949-1950,Karel Bogaers
788,Scan 2024-02-26 1057-13.jpeg,1949-1950,Traviata,1949-11-06,,ned,False,396717,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1949-1950,Karel Bogaers
789,Scan 2024-02-26 1057-15.jpeg,1949-1950,De Goochelaar van O.L. Vrouw,1949-11-08,,ned,False,111138,De Goochelaar van O.L. Vrouw,FRA,Jules Massenet,1902,Le Jongleur de Notre-Dame,opera,NL,1949-1950,Karel Bogaers
790,Scan 2024-02-26 1057-17.jpeg,1949-1950,Fidelio,1949-11-10,,ned,False,723507,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,Unk,1949-1950,Karel Bogaers
791,Scan 2024-02-26 1057-19.jpeg,1949-1950,De Parelvissers,1949-11-12,,ned,False,251120,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,NL,1949-1950,Karel Bogaers
792,Scan 2024-02-26 1057-21.jpeg,1949-1950,Traviata,1949-11-13,,ned,False,184940,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1949-1950,Karel Bogaers
793,Scan 2024-02-26 1057-23.jpeg,1949-1950,Lohengrin,1949-11-13,,ned,False,472269,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1949-1950,Karel Bogaers
794,Scan 2024-02-26 1057-25.jpeg,1949-1950,Hoffmann's Vertellingen,1949-11-15,galavoorstelling,ned,False,195018,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,NL,1949-1950,Karel Bogaers
795,Scan 2024-02-26 1057-26.jpeg,1949-1950,Traviata,1949-11-17,,ned,False,211147,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1949-1950,Karel Bogaers
796,Scan 2024-02-26 1057-28.jpeg,1949-1950,Orpheus,1949-11-19,,ned,False,321934,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,Unk,1949-1950,Karel Bogaers
797,Scan 2024-02-26 1057-29.jpeg,1949-1950,Hoffmann's Vertellingen,1949-11-20,,ned,False,947646,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,NL,1949-1950,Karel Bogaers
798,Scan 2024-02-26 1057-31.jpeg,1949-1950,Zwarte Viooltjes,1949-11-20,,ned,False,975950,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1949-1950,Karel Bogaers
799,Scan 2024-02-26 1057-33.jpeg,1949-1950,Traviata,1949-11-22,,ned,False,244654,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1949-1950,Karel Bogaers
800,Scan 2024-02-26 1057-35.jpeg,1949-1950,Orpheus,1949-11-24,,ned,False,933507,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,Unk,1949-1950,Karel Bogaers
801,Scan 2024-02-26 1057-36.jpeg,1949-1950,Peter Grimes,1949-11-26,,ned,False,910925,Peter Grimes,ENG,Benjamin Britten,1945,Peter Grimes,operette,Unk,1949-1950,Karel Bogaers
802,Scan 2024-02-26 1057-38.jpeg,1949-1950,Orpheus,1949-11-27,,ned,False,707974,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,Unk,1949-1950,Karel Bogaers
803,Scan 2024-02-26 1057-39.jpeg,1949-1950,Hoffmann's Vertellingen,1949-11-27,,ned,False,909871,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,NL,1949-1950,Karel Bogaers
804,Scan 2024-02-26 1057-41.jpeg,1949-1950,Lohengrin,1949-11-29,,ned,False,838637,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1949-1950,Karel Bogaers
805,Scan 2024-02-26 1104-3.jpeg,1949-1950,Hoffmann's Vertellingen,1949-12-01,,ned,False,372702,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,NL,1949-1950,Karel Bogaers
806,Scan 2024-02-26 1104-5.jpeg,1949-1950,Hansje en Grietje,1949-12-03,,ned,False,983016,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,NL,1949-1950,Karel Bogaers
807,Scan 2024-02-26 1104-7.jpeg,1949-1950,Peter Grimes,1949-12-04,,ned,False,919330,Peter Grimes,ENG,Benjamin Britten,1945,Peter Grimes,operette,Unk,1949-1950,Karel Bogaers
808,Scan 2024-02-26 1104-9.jpeg,1949-1950,Orpheus,1949-12-04,,ned,False,422404,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,Unk,1949-1950,Karel Bogaers
809,Scan 2024-02-26 1104-10.jpeg,1949-1950,Hansje en Grietje,1949-12-06,,ned,False,199346,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,NL,1949-1950,Karel Bogaers
810,Scan 2024-02-26 1104-12.jpeg,1949-1950,Lohengrin,1949-12-08,,ned,False,106310,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1949-1950,Karel Bogaers
811,Scan 2024-02-26 1104-14.jpeg,1949-1950,Rijngoud,1949-12-10,,ned,False,283891,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,NL,1949-1950,Karel Bogaers
812,Scan 2024-02-26 1104-16.jpeg,1949-1950,Lohengrin,1949-11-11,,ned,False,832892,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1949-1950,Karel Bogaers
813,Scan 2024-02-26 1104-18.jpeg,1949-1950,Hansje en Grietje,1949-12-11,,ned,False,635043,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,NL,1949-1950,Karel Bogaers
814,Scan 2024-02-26 1104-20.jpeg,1949-1950,Hoffmann's Vertellingen,1949-12-13,,ned,False,783700,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,NL,1949-1950,Karel Bogaers
815,Scan 2024-02-26 1104-22.jpeg,1949-1950,Peter Grimes,1949-12-15,,ned,False,586159,Peter Grimes,ENG,Benjamin Britten,1945,Peter Grimes,operette,Unk,1949-1950,Karel Bogaers
816,Scan 2024-02-26 1104-24.jpeg,1949-1950,Lohengrin,1949-12-17,,ned,False,335885,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1949-1950,Karel Bogaers
817,Scan 2024-02-26 1104-26.jpeg,1949-1950,Hansje en Grietje,1949-12-18,,ned,False,403117,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,NL,1949-1950,Karel Bogaers
818,Scan 2024-02-26 1104-28.jpeg,1949-1950,Rijngoud,1949-12-18,,ned,False,811386,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,NL,1949-1950,Karel Bogaers
819,Scan 2024-02-26 1104-30.jpeg,1949-1950,Orpheus,1949-12-20,,ned,False,680607,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,Unk,1949-1950,Karel Bogaers
820,Scan 2024-02-26 1104-31.jpeg,1949-1950,Hansje en Grietje,1949-12-22,,ned,False,336471,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,NL,1949-1950,Karel Bogaers
821,Scan 2024-02-26 1104-33.jpeg,1949-1950,Manon,1949-12-24,,ned,False,131498,Manon,FR,Jules Massenet,1884,Manon,komische oper,NL,1949-1950,Karel Bogaers
822,Scan 2024-02-26 1104-35.jpeg,1949-1950,Rijngoud,1949-12-25,,ned,False,408135,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,NL,1949-1950,Karel Bogaers
823,Scan 2024-02-26 1104-37.jpeg,1949-1950,De Lustige Weduwe,1949-12-25,,ned,False,710467,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1949-1950,Karel Bogaers
824,Scan 2024-02-26 1104-39.jpeg,1949-1950,De Lustige Weduwe,1949-12-27,,ned,False,775557,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1949-1950,Karel Bogaers
825,Scan 2024-02-26 1104-41.jpeg,1949-1950,Jozef's Legende,1949-12-29,,ned,True,685962,Jozef's Legende,DUI,Hugo von Hofmannsthal,1914,Josephslegende,ballet,NL,1949-1950,Karel Bogaers
826,Scan 2024-02-26 1104-41.jpeg,1949-1950,Coppelia,1949-12-29,,ned,True,685962,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,Unk,1949-1950,Karel Bogaers
827,Scan 2024-02-26 1104-43.jpeg,1949-1950,De Lieve Augustien,1949-12-31,,ned,False,468944,De Lieve Augustien,DUI,Bruno Hardt-Warden,1942,Der liebe Augustien,operette,NL,1949-1950,Karel Bogaers
828,Scan 2024-02-26 1112-3.jpeg,1949-1950,De Lustige Weduwe,1950-01-01,,ned,False,290293,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1949-1950,Karel Bogaers
829,Scan 2024-02-26 1112-5.jpeg,1949-1950,De Lieve Augustien,1950-01-01,,ned,False,756005,De Lieve Augustien,DUI,Bruno Hardt-Warden,1942,Der liebe Augustien,operette,NL,1949-1950,Karel Bogaers
830,Scan 2024-02-26 1112-7.jpeg,1949-1950,Jozef's Legende,1950-01-03,,ned,True,321572,Jozef's Legende,DUI,Hugo von Hofmannsthal,1914,Josephslegende,ballet,NL,1949-1950,Karel Bogaers
831,Scan 2024-02-26 1112-7.jpeg,1949-1950,Coppelia,1950-01-03,,ned,True,321572,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,Unk,1949-1950,Karel Bogaers
832,Scan 2024-02-26 1112-9.jpeg,1949-1950,De Lieve Augustien,1950-01-05,,ned,False,156503,De Lieve Augustien,DUI,Bruno Hardt-Warden,1942,Der liebe Augustien,operette,NL,1949-1950,Karel Bogaers
833,Scan 2024-02-26 1112-11.jpeg,1949-1950,Quinten Massys,1950-01-07,,ned,False,981036,Quinten Massys,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,Unk,1949-1950,Karel Bogaers
834,Scan 2024-02-26 1112-13.jpeg,1949-1950,Jozef's Legende,1950-01-08,,ned,True,629119,Jozef's Legende,DUI,Hugo von Hofmannsthal,1914,Josephslegende,ballet,NL,1949-1950,Karel Bogaers
835,Scan 2024-02-26 1112-13.jpeg,1949-1950,Coppelia,1950-01-08,,ned,True,629119,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,Unk,1949-1950,Karel Bogaers
836,Scan 2024-02-26 1112-15.jpeg,1949-1950,Peter Grimes,1950-01-08,,ned,False,713298,Peter Grimes,ENG,Benjamin Britten,1945,Peter Grimes,operette,Unk,1949-1950,Karel Bogaers
837,Scan 2024-02-26 1112-17.jpeg,1949-1950,De Lieve Augustien,1950-01-10,,ned,False,317177,De Lieve Augustien,DUI,Bruno Hardt-Warden,1942,Der liebe Augustien,operette,NL,1949-1950,Karel Bogaers
838,Scan 2024-02-26 1112-19.jpeg,1949-1950,Rijngoud,1950-01-12,,ned,False,439437,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,NL,1949-1950,Karel Bogaers
839,Scan 2024-02-26 1112-22.jpeg,1949-1950,Hoffmann's Vertellingen,1950-01-14,,ned,False,671417,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,NL,1949-1950,Karel Bogaers
840,Scan 2024-02-26 1112-24.jpeg,1949-1950,De Lieve Augustien,1950-01-15,,ned,False,990450,De Lieve Augustien,DUI,Bruno Hardt-Warden,1942,Der liebe Augustien,operette,NL,1949-1950,Karel Bogaers
841,Scan 2024-02-26 1112-26.jpeg,1949-1950,Quinten Massys,1950-01-15,,ned,False,706045,Quinten Massys,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,Unk,1949-1950,Karel Bogaers
842,Scan 2024-02-26 1112-28.jpeg,1949-1950,Rigoletto,1950-01-17,,ned,False,131570,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1949-1950,Karel Bogaers
843,Scan 2024-02-26 1112-30.jpeg,1949-1950,De Lustige Weduwe,1950-01-19,,ned,False,756476,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1949-1950,Karel Bogaers
844,Scan 2024-02-26 1112-32.jpeg,1949-1950,De Walküre,1950-01-21,,ned,False,501070,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1949-1950,Karel Bogaers
845,Scan 2024-02-26 1112-34.jpeg,1949-1950,Quinten Massys,1950-01-22,,ned,False,853839,Quinten Massys,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,Unk,1949-1950,Karel Bogaers
846,Scan 2024-02-26 1112-36.jpeg,1949-1950,Rigoletto,1950-01-22,,ned,False,125217,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1949-1950,Karel Bogaers
847,Scan 2024-02-26 1112-38.jpeg,1949-1950,Aïda,1950-01-24,galavoorstelling,ned,False,840417,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1949-1950,Karel Bogaers
848,Scan 2024-02-26 1112-40.jpeg,1949-1950,De Walküre,1950-01-26,,ned,False,611681,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1949-1950,Karel Bogaers
849,Scan 2024-02-26 1112-42.jpeg,1949-1950,Carmen,1950-01-28,,ned,False,117521,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1949-1950,Karel Bogaers
850,Scan 2024-02-26 1112-44.jpeg,1949-1950,Rigoletto,1950-01-29,,ned,False,500563,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1949-1950,Karel Bogaers
851,Scan 2024-02-26 1112-46.jpeg,1949-1950,Jozef's Legende,1950-01-29,,ned,True,121413,Jozef's Legende,DUI,Hugo von Hofmannsthal,1914,Josephslegende,ballet,NL,1949-1950,Karel Bogaers
852,Scan 2024-02-26 1112-46.jpeg,1949-1950,Coppelia,1950-01-29,,ned,True,121413,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,Unk,1949-1950,Karel Bogaers
853,Scan 2024-02-26 1112-48.jpeg,1949-1950,Romeo en Juliette,1950-01-31,galavoorstelling,ned,False,280263,Romeo en Julia,TSJ,Pyotr Tchaikovsky,1870,Ромео и Джульетта,romantische opera,NL,1949-1950,Karel Bogaers
854,Scan 2024-02-26 1117-3.jpeg,1949-1950,Quinten Massys,1950-02-02,,ned,False,916215,Quinten Massys,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,Unk,1949-1950,Karel Bogaers
855,Scan 2024-02-26 1117-5.jpeg,1949-1950,De Lustige Weduwe,1950-02-04,,ned,False,879310,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1949-1950,Karel Bogaers
856,Scan 2024-02-26 1117-7.jpeg,1949-1950,De Walküre,1950-02-05,,ned,False,879943,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1949-1950,Karel Bogaers
857,Scan 2024-02-26 1117-9.jpeg,1949-1950,De Vledermuis,1950-02-05,,ned,False,139220,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1949-1950,Karel Bogaers
858,Scan 2024-02-26 1117-11.jpeg,1949-1950,Carmen,1950-02-07,,ned,False,249933,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1949-1950,Karel Bogaers
859,Scan 2024-02-26 1117-13.jpeg,1949-1950,Rigoletto,1950-02-09,,ned,False,599699,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1949-1950,Karel Bogaers
860,Scan 2024-02-26 1117-15.jpeg,1949-1950,Rink Folkema,1950-02-11,,ned,False,753719,Rink Folkema,NL,Léon Moeremans,1930,Rink Folkema,?,Unk,1949-1950,Karel Bogaers
861,Scan 2024-02-26 1117-17.jpeg,1949-1950,Romeo en Julia,1950-02-12,,ned,False,769383,Romeo en Julia,TSJ,Pyotr Tchaikovsky,1870,Ромео и Джульетта,romantische opera,NL,1949-1950,Karel Bogaers
862,Scan 2024-02-26 1117-18.jpeg,1949-1950,Carmen,1950-02-12,,ned,False,751478,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1949-1950,Karel Bogaers
863,Scan 2024-02-26 1117-20.jpeg,1949-1950,De Vledermuis,1950-02-14,,ned,False,194283,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1949-1950,Karel Bogaers
864,Scan 2024-02-26 1117-22.jpeg,1949-1950,Rink Folkema,1950-02-16,,ned,False,373968,Rink Folkema,NL,Léon Moeremans,1930,Rink Folkema,?,Unk,1949-1950,Karel Bogaers
865,Scan 2024-02-26 1117-24.jpeg,1949-1950,Romeo en Julia,1950-02-18,,ned,False,645818,Romeo en Julia,TSJ,Pyotr Tchaikovsky,1870,Ромео и Джульетта,romantische opera,NL,1949-1950,Karel Bogaers
866,Scan 2024-02-26 1117-25.jpeg,1949-1950,De Vledermuis,1950-02-19,,ned,False,883853,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1949-1950,Karel Bogaers
867,Scan 2024-02-26 1117-27.jpeg,1949-1950,De Lustige Weduwe,1950-02-19,,ned,False,162340,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1949-1950,Karel Bogaers
868,Scan 2024-02-26 1119-1.jpeg,1949-1950,Zwarte Viooltjes,1950-02-21,,ned,False,539170,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1949-1950,Karel Bogaers
869,Scan 2024-02-26 1119-3.jpeg,1949-1950,Carmen,1950-02-23,,ned,False,509258,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1949-1950,Karel Bogaers
870,Scan 2024-02-26 1119-5.jpeg,1949-1950,De Rozenkavalier,1950-02-25,,ned,False,228180,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1949-1950,Karel Bogaers
871,Scan 2024-02-26 1119-7.jpeg,1949-1950,Carmen,1950-02-26,,ned,False,671313,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1949-1950,Karel Bogaers
872,Scan 2024-02-26 1119-9.jpeg,1949-1950,Rink Folkema,1950-02-26,,ned,False,337010,Rink Folkema,NL,Léon Moeremans,1930,Rink Folkema,?,Unk,1949-1950,Karel Bogaers
873,Scan 2024-02-26 1119-11.jpeg,1949-1950,De Lieve Augustien,1950-02-28,,ned,False,710766,De Lieve Augustien,DUI,Bruno Hardt-Warden,1942,Der liebe Augustien,operette,NL,1949-1950,Karel Bogaers
874,Scan 2024-02-26 1136-3.jpeg,1949-1950,De Rozenkavalier,1950-03-02,,ned,False,597169,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1949-1950,Karel Bogaers
875,Scan 2024-02-26 1136-5.jpeg,1949-1950,Het Land van den Glimlach,1950-03-04,,ned,False,348698,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1949-1950,Karel Bogaers
876,Scan 2024-02-26 1136-7.jpeg,1949-1950,Rink Folkema,1950-03-05,,ned,False,922876,Rink Folkema,NL,Léon Moeremans,1930,Rink Folkema,?,Unk,1949-1950,Karel Bogaers
877,Scan 2024-02-26 1136-9.jpeg,1949-1950,Romeo en Julia,1950-03-05,,ned,False,281159,Romeo en Julia,TSJ,Pyotr Tchaikovsky,1870,Ромео и Джульетта,romantische opera,NL,1949-1950,Karel Bogaers
878,Scan 2024-02-26 1136-11.jpeg,1949-1950,La Tosca,1950-03-07,galavoorstelling,ned+fra,False,426563,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1949-1950,Karel Bogaers
879,Scan 2024-02-26 1136-13.jpeg,1949-1950,Romeo en Julia,1950-03-09,,ned,False,826111,Romeo en Julia,TSJ,Pyotr Tchaikovsky,1870,Ромео и Джульетта,romantische opera,NL,1949-1950,Karel Bogaers
880,Scan 2024-02-26 1136-14.jpeg,1949-1950,Marouf,1950-03-11,,ned,False,220596,Marouf,FR,Lucien Népoty,1914,Mârouf,opéra comique,unk,1949-1950,Karel Bogaers
881,Scan 2024-02-26 1136-16.jpeg,1949-1950,Het Land van den Glimlach,1950-03-12,,ned,False,573313,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1949-1950,Karel Bogaers
882,Scan 2024-02-26 1136-18.jpeg,1949-1950,Carmen,1950-03-12,,ned,False,339273,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1949-1950,Karel Bogaers
883,Scan 2024-02-26 1136-20.jpeg,1949-1950,Marouf,1950-03-14,,ned,False,128031,Marouf,FR,Lucien Népoty,1914,Mârouf,opéra comique,unk,1949-1950,Karel Bogaers
884,Scan 2024-02-26 1136-22.jpeg,1949-1950,De Vledermuis,1950-03-16,,ned,False,453538,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1949-1950,Karel Bogaers
885,Scan 2024-02-26 1136-24.jpeg,1949-1950,Jozef's Legende,1950-03-18,,ned,True,438753,Jozef's Legende,DUI,Hugo von Hofmannsthal,1914,Josephslegende,ballet,NL,1949-1950,Karel Bogaers
886,Scan 2024-02-26 1136-24.jpeg,1949-1950,Coppelia,1950-03-18,,ned,True,438753,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,Unk,1949-1950,Karel Bogaers
887,Scan 2024-02-26 1136-26.jpeg,1949-1950,De Rozenkavalier,1950-03-19,,ned,False,515064,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1949-1950,Karel Bogaers
888,Scan 2024-02-26 1136-28.jpeg,1949-1950,Het Land van den Glimlach,1950-03-19,,ned,False,800946,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1949-1950,Karel Bogaers
889,Scan 2024-02-26 1136-30.jpeg,1949-1950,Tannhäuser,1950-03-21,galavoorstelling,ned,False,915985,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,Unk,1949-1950,Karel Bogaers
890,Scan 2024-02-26 1136-41.jpeg,1949-1950,Marouf,1950-03-23,,ned,False,703026,Marouf,FR,Lucien Népoty,1914,Mârouf,opéra comique,unk,1949-1950,Karel Bogaers
891,Scan 2024-02-26 1136-43.jpeg,1949-1950,Rigoletto,1950-03-25,,ned,False,283351,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1949-1950,Karel Bogaers
892,Scan 2024-02-26 1136-45.jpeg,1949-1950,Marouf,1950-03-26,,ned,False,441087,Marouf,FR,Lucien Népoty,1914,Mârouf,opéra comique,unk,1949-1950,Karel Bogaers
893,Scan 2024-02-26 1136-47.jpeg,1949-1950,De Lustige Weduwe,1950-03-26,,ned,False,384865,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1949-1950,Karel Bogaers
894,Scan 2024-02-26 1136-49.jpeg,1949-1950,Het Land van den Glimlach,1950-03-30,,ned,False,237726,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1949-1950,Karel Bogaers
895,Scan 2024-02-26 1148-3.jpeg,1949-1950,Thais,1950-04-01,,ned,False,170867,Thaïs,N/A,N/A,N/A,N/A,N/A,N/A,1949-1950,Karel Bogaers
896,Scan 2024-02-26 1148-5.jpeg,1949-1950,De Lustige Weduwe,1950-04-02,,ned,False,320532,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1949-1950,Karel Bogaers
897,Scan 2024-02-26 1148-7.jpeg,1949-1950,Tannhäuser,1950-04-02,,ned,False,518623,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,Unk,1949-1950,Karel Bogaers
898,Scan 2024-02-26 1148-9.jpeg,1949-1950,Het Land van den Glimlach,1950-04-04,,ned,False,982944,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1949-1950,Karel Bogaers
899,Scan 2024-02-26 1148-11.jpeg,1949-1950,Parsifal,1950-04-07,,ned,False,569522,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,Unk,1949-1950,Karel Bogaers
900,Scan 2024-02-26 1148-13.jpeg,1949-1950,De Vledermuis,1950-04-08,,ned,False,999490,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1949-1950,Karel Bogaers
901,Scan 2024-02-26 1148-15.jpeg,1949-1950,Tosca,1950-04-09,,ned,False,882979,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1949-1950,Karel Bogaers
902,Scan 2024-02-26 1148-16.jpeg,1949-1950,Marouf,1950-04-09,,ned,False,833505,Marouf,FR,Lucien Népoty,1914,Mârouf,opéra comique,unk,1949-1950,Karel Bogaers
903,Scan 2024-02-26 1148-18.jpeg,1949-1950,Parsifal,1950-04-10,,ned,False,975529,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,Unk,1949-1950,Karel Bogaers
904,Scan 2024-02-26 1148-20.jpeg,1949-1950,Tosca,1950-04-11,,ned,False,192909,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1949-1950,Karel Bogaers
905,Scan 2024-02-26 1148-21.jpeg,1949-1950,Thaïs,1950-04-13,,ned,False,180264,Thaïs,N/A,N/A,N/A,N/A,N/A,N/A,1949-1950,Karel Bogaers
906,Scan 2024-02-26 1148-23.jpeg,1949-1950,Carmen,1950-04-15,,ned,False,837474,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1949-1950,Karel Bogaers
907,Scan 2024-02-26 1148-25.jpeg,1949-1950,Het Land van den Glimlach,1950-04-16,,ned,False,918977,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1949-1950,Karel Bogaers
