,Unnamed: 0,Image,Collection,Production,Date,Occasion,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Season,Directors,Title Language,Leaflet Language
6020,6020.0,0550_1942-1943_00550-20230306_135349.jpg,1942-1943,De Barbier van Sevilla,1943-04-29,,False,726998,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1942-1943,Joris Diels,NL,Dutch
6021,6021.0,0552_1942-1943_00552-20230306_135405.jpg,1942-1943,Cavalleria Rusticana,1943-05-01,,True,372656,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943,Joris Diels,ITA,Dutch
6022,6022.0,0552_1942-1943_00552-20230306_135405.jpg,1942-1943,Paljas,1943-05-01,,True,372656,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943,Joris Diels,Unk,Dutch
6023,6023.0,0554_1942-1943_00554-20230306_135425.jpg,1942-1943,Traviata,1943-05-02,,False,889470,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1942-1943,Joris Diels,Unk,Dutch
6024,6024.0,0556_1942-1943_00556-20230306_135445.jpg,1942-1943,Tosca,1943-05-02,,False,881562,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943,Joris Diels,Unk,Dutch
6025,6025.0,0560_1942-1943_00560-20230306_135522.jpg,1942-1943,Heibieke,1943-05-06,,True,332984,Heibieke,NL,Edward Verheyden,?,Heibieke,?,1942-1943,Joris Diels,Unk,Dutch
6026,6026.0,0560_1942-1943_00560-20230306_135522.jpg,1942-1943,‘t Minnebrugje,1943-05-06,,True,332984,‘t Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1942-1943,Joris Diels,NL,Dutch
6027,6027.0,0562_1942-1943_00562-20230306_135538.jpg,1942-1943,Godendeemstering,1943-05-08,,False,779366,Götterdämmerung,DUI,Richard Wagner,1876,Götterdämmerung,gesamtkunstwerk,1942-1943,Joris Diels,DUI,Dutch
6028,6028.0,0566_1942-1943_00566-20230306_135719.jpg,1942-1943,Faust,1943-05-09,,False,233391,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943,Joris Diels,Unk,Dutch
6029,6029.0,0568_1942-1943_00569-20230306_135738.jpg,1942-1943,De Barbier van Sevilla,1943-05-09,,False,266863,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1942-1943,Joris Diels,NL,Dutch
6030,6030.0,0570_1942-1943_00570-20230306_135830.jpg,1942-1943,Het Land van den Glimlach,1943-05-11,,False,208146,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943,Joris Diels,NL,Dutch
6031,6031.0,0572_1942-1943_00572-20230306_135846.jpg,1942-1943,Madame Butterfly,1943-05-12,Wehrmachsvorstellung,False,774631,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943,Joris Diels,NL,German
